X,Y,Z
103.803400,111.600700,0.000000
182.437187,181.476282,0.000000
163.117426,164.785369,0.000000
131.250583,153.581033,0.000000
146.491766,198.848776,0.000000
17.086338,25.303585,0.000000
127.523211,158.420727,0.000000
82.837500,90.779333,0.000000
99.035490,109.633471,0.000000
59.825976,64.978214,0.000000
79.249125,107.749375,0.000000
87.806000,117.521800,0.000000
81.486875,111.162125,0.000000
85.922923,101.190692,0.000000
55.676338,69.507250,0.000000
157.765262,153.269803,0.000000
149.693692,143.990538,0.000000
93.904500,92.196500,0.000000
124.257461,145.478368,0.000000
105.644800,115.838800,0.000000
87.417505,127.915614,0.000000
129.477464,161.969662,0.000000
60.756283,122.205000,0.000000
103.548818,98.836091,0.000000
104.255625,201.429125,0.000000
284.076052,168.481514,0.000000
143.758395,85.262128,0.000000
98.784375,180.119875,0.000000
67.030333,121.795333,0.000000
98.975714,184.566714,0.000000
126.483000,106.801333,0.000000
84.290167,159.833000,0.000000
74.882167,89.298167,0.000000
110.805862,207.987138,0.000000
184.623875,114.663125,0.000000
268.968905,169.364700,0.000000
268.666957,158.250674,0.000000
282.851259,169.368859,0.000000
58.868083,125.509167,0.000000
97.080500,166.605500,0.000000
58.242106,63.533931,0.000000
86.445765,152.923232,0.000000
245.475549,134.114606,0.000000
190.421917,108.121250,0.000000
220.050667,184.706333,0.000000
219.956833,195.163556,0.000000
157.608167,151.949833,0.000000
69.776273,85.198427,0.000000
207.288000,177.980000,0.000000
162.406000,144.395600,0.000000
173.544400,204.266600,0.000000
158.392000,190.938000,0.000000
75.691500,155.625062,0.000000
157.447333,161.768667,0.000000
197.768433,186.388287,0.000000
60.781575,59.290012,0.000000
277.357250,153.363900,0.000000
280.970399,179.400962,0.000000
115.771000,124.544625,0.000000
43.351333,44.352667,0.000000
115.238443,114.926867,0.000000
75.774470,92.802618,0.000000
86.538909,84.032091,0.000000
212.126545,190.751273,0.000000
196.305500,182.181889,0.000000
276.359222,175.458877,0.000000
77.066471,158.159588,0.000000
50.778549,107.100863,0.000000
116.110000,105.560833,0.000000
141.330400,142.891400,0.000000
120.442833,123.835500,0.000000
66.684000,125.562500,0.000000
79.395556,81.586556,0.000000
198.084875,196.553250,0.000000
86.198167,182.744000,0.000000
99.077500,186.632200,0.000000
60.318167,133.733000,0.000000
294.629781,164.630792,0.000000
154.014778,150.257000,0.000000
53.488833,114.700208,0.000000
80.504167,92.448500,0.000000
79.695000,134.681364,0.000000
149.625833,150.529167,0.000000
79.666200,158.154000,0.000000
201.254960,169.688901,0.000000
79.882500,117.939833,0.000000
225.557083,289.649250,0.000000
180.473857,224.062000,0.000000
200.077333,312.767167,0.000000
138.478167,220.411167,0.000000
112.343154,143.368359,0.000000
205.439500,226.702750,0.000000
134.106000,213.469167,0.000000
125.595375,158.635500,0.000000
170.006929,267.561714,0.000000
131.704000,189.522667,0.000000
219.106579,330.952053,0.000000
118.238000,192.680333,0.000000
169.127667,170.351333,0.000000
172.518389,259.331389,0.000000
178.445333,244.742444,0.000000
162.076500,207.377167,0.000000
142.913857,217.714143,0.000000
200.983667,283.785778,0.000000
77.712875,117.446000,0.000000
86.798667,100.738333,0.000000
208.827364,235.907545,0.000000
193.688375,251.618625,0.000000
229.080500,290.440167,0.000000
186.856286,242.073714,0.000000
182.748143,205.723429,0.000000
151.638286,223.630571,0.000000
166.621833,244.992250,0.000000
101.725833,130.000542,0.000000
113.324286,153.650857,0.000000
226.389222,247.251333,0.000000
141.411357,200.840500,0.000000
173.099111,272.924111,0.000000
161.267500,198.572000,0.000000
156.779833,189.539500,0.000000
186.120667,212.679000,0.000000
218.960385,232.415308,0.000000
121.855154,121.465154,0.000000
93.653778,138.566000,0.000000
68.089667,93.712500,0.000000
142.852500,234.773125,0.000000
86.525167,233.993667,0.000000
149.972286,198.506429,0.000000
166.204000,178.634187,0.000000
267.632167,42.793608,0.000000
246.555167,-38.527633,0.000000
124.954373,19.567225,0.000000
199.491000,-19.120567,0.000000
278.485724,51.268922,0.000000
214.700684,-29.504006,0.000000
208.226667,-69.013667,0.000000
