X,Y,Z
700757.892289,9311626.330210,0.000000,1595
700707.475456,9311710.402410,0.000000,0
700751.031556,9311679.325910,0.000000,1580
700743.958222,9311676.661410,0.000000,1580
700749.997389,9311681.339243,0.000000,1580
700753.310945,9311678.327021,0.000000,1580
700739.529103,9311658.167839,0.000000,1580
700713.806022,9311654.414577,0.000000,0
700437.076722,9311618.023521,0.000000,1649
700430.479833,9311607.200077,0.000000,1649
700802.098597,9311617.058910,0.000000,1725
700788.643139,9311621.998160,0.000000,1725
700572.320764,9311939.107922,0.000000,1615
700580.341889,9311943.102455,0.000000,1615
700574.324889,9311938.990998,0.000000,1615
700567.131502,9311935.381222,0.000000,1615
700567.166609,9311917.989520,0.000000,1615
700561.507611,9311927.601910,0.000000,1615
700555.946122,9311916.866443,0.000000,1613
700560.566689,9311893.981385,0.000000,1614
700509.489722,9311898.667577,0.000000,0
700532.034456,9311910.606360,0.000000,1698
700525.346389,9311918.966493,0.000000,1698
700538.938509,9311879.129071,0.000000,1698
700514.558222,9311926.430893,0.000000,0
700496.746556,9311913.749043,0.000000,1564
700485.639056,9311931.766227,0.000000,1564
700495.266639,9311935.059885,0.000000,1564
700463.927389,9311709.226243,0.000000,1571
700497.605139,9311730.952910,0.000000,1571
700477.618556,9311718.045410,0.000000,1571
700540.013389,9311609.233077,0.000000,1588
700567.195589,9311627.243910,0.000000,1587
700562.847678,9311633.385410,0.000000,1587
700709.908139,9311728.017077,0.000000,0
700735.624085,9311748.153264,0.000000,1601
700464.525389,9311227.337243,0.000000,2092
700471.639222,9311586.142243,0.000000,2093
700468.762833,9311580.136521,0.000000,2186
700472.619056,9311576.764410,0.000000,2186
700467.989722,9311554.181410,0.000000,2094
700470.084139,9311565.322285,0.000000,2095
700469.645556,9311521.253410,0.000000,2096
700493.819532,9311525.028053,0.000000,2096
700495.996556,9311547.856743,0.000000,2098
700492.899056,9311543.528077,0.000000,2098
700556.147572,9311536.103743,0.000000,2099
700419.571056,9311562.385410,0.000000,2100
700481.909889,9311350.720077,0.000000,2101
700514.224696,9311365.737767,0.000000,2102
700536.504658,9311339.304037,0.000000,2103
700591.881879,9311445.884625,0.000000,0
700617.554856,9311436.311285,0.000000,2105
700617.541339,9311446.083981,0.000000,2106
700638.321589,9311467.774310,0.000000,2107
700725.455439,9311474.101410,0.000000,0
700677.968289,9311510.954077,0.000000,2109
700667.557922,9311522.452410,0.000000,2110
700752.045777,9311451.443065,0.000000,2111
700782.486222,9311489.499077,0.000000,2112
700773.293056,9311469.158743,0.000000,2113
700740.060312,9311434.422256,0.000000,2114
700761.018389,9311429.055510,0.000000,2115
700733.439222,9311460.135410,0.000000,2116
700805.642480,9311466.851865,0.000000,2117
700800.083722,9311527.449743,0.000000,2118
700803.081014,9311533.975535,0.000000,2119
700811.728389,9311533.813743,0.000000,2120
700810.186389,9311518.064243,0.000000,2121
700818.527722,9311521.943910,0.000000,2121
700802.347056,9311513.232077,0.000000,2121
700837.956056,9311509.196243,0.000000,2122
700881.883722,9311501.505743,0.000000,2124
700899.311222,9311476.359910,0.000000,2125
700812.431722,9311372.374410,0.000000,2126
700790.987056,9311345.647577,0.000000,2127
700404.859389,9311199.020743,0.000000,2128
700424.634889,9311178.785243,0.000000,2129
700564.038189,9311181.385410,0.000000,2130
700431.283246,9311095.045553,0.000000,2131
700441.819222,9311122.319743,0.000000,2132
700448.643722,9311102.797910,0.000000,2133
700451.452722,9311139.603610,0.000000,0
700409.478722,9311230.086743,0.000000,2135
700424.711764,9311231.718035,0.000000,2136
700468.791556,9311229.500077,0.000000,2137
700459.010532,9311235.013839,0.000000,2195
700448.794556,9311232.947243,0.000000,2195
700450.188514,9311249.449785,0.000000,2195
700452.366139,9311242.240285,0.000000,2195
700458.004722,9311250.132910,0.000000,2195
700485.336514,9311218.060160,0.000000,2138
700492.707246,9311220.304553,0.000000,2139
700502.528806,9311240.500493,0.000000,2140
700533.623539,9311246.987743,0.000000,2141
700421.261389,9311268.878910,0.000000,2142
700443.962722,9311274.954243,0.000000,2143
700431.841489,9311298.233710,0.000000,2144
700469.653222,9311285.539410,0.000000,2145
700453.913844,9311300.938228,0.000000,2146
700464.564722,9311280.872243,0.000000,2147
700501.607889,9311287.899910,0.000000,2148
700519.882756,9311281.057410,0.000000,2149
700550.218889,9311278.144839,0.000000,2151
700567.243661,9311278.333410,0.000000,2152
700561.962156,9311269.461910,0.000000,2153
700569.695222,9311267.657410,0.000000,2154
700540.615506,9311309.985410,0.000000,2155
700555.680589,9311292.033910,0.000000,2156
700581.676289,9311397.868660,0.000000,2157
700594.986456,9311418.620077,0.000000,2158
700602.203406,9311424.461410,0.000000,2159
700600.242656,9311424.239577,0.000000,2159
700611.668696,9311424.129410,0.000000,2160
700617.649021,9311379.803810,0.000000,2204
700635.898689,9311381.430535,0.000000,2204
700658.994006,9311379.124743,0.000000,2161
700613.704957,9311358.483839,0.000000,0
700672.860539,9311396.329231,0.000000,2163
700661.999332,9311431.443553,0.000000,2164
700645.801922,9311405.324910,0.000000,2165
700605.139824,9311306.936210,0.000000,2166
700741.784889,9311316.550410,0.000000,2167
700761.355222,9311278.698077,0.000000,2168
700709.146839,9311280.490743,0.000000,0
700833.365222,9311280.582243,0.000000,2171
700833.273556,9311262.264243,0.000000,2172
700836.553889,9311266.362410,0.000000,2173
700820.746675,9311298.509981,0.000000,2174
700673.020239,9311287.736243,0.000000,2176
700682.081599,9311165.064010,0.000000,2177
700545.851682,9311179.338267,0.000000,2178
700527.457006,9311172.522910,0.000000,2179
700553.408649,9311126.719143,0.000000,2180
700587.950783,9311139.022597,0.000000,2181
700573.235589,9311166.415943,0.000000,2182
700594.990003,9311117.220553,0.000000,2183
700597.416289,9311122.997410,0.000000,2184
700543.205843,9311080.325882,0.000000,2185
700630.939855,9311160.881410,0.000000,2014
700641.529085,9311142.931650,0.000000,2015
700705.318451,9311088.419641,0.000000,0
700691.854039,9311067.513910,0.000000,2189
700719.719946,9311164.630410,0.000000,2017
700704.055203,9311162.893839,0.000000,2018
700933.216556,9311389.101243,0.000000,2019
700969.526722,9311433.076910,0.000000,2020
700975.204389,9311436.232743,0.000000,2021
700926.544056,9311436.323077,0.000000,2022
700882.861222,9311437.820910,0.000000,2023
700872.076056,9311451.445243,0.000000,2023
700855.471722,9311567.792577,0.000000,2024
700858.994389,9311536.216577,0.000000,2025
700744.729014,9311499.837160,0.000000,2026
700900.785556,9311275.185243,0.000000,2027
700956.667556,9311278.860243,0.000000,2028
700989.453772,9311329.040423,0.000000,2029
700997.982889,9311417.632077,0.000000,2030
700770.601389,9311085.049046,0.000000,2033
700783.188389,9311096.936743,0.000000,2034
700828.152139,9311094.009410,0.000000,2035
700842.583289,9311115.191510,0.000000,2036
700861.181222,9311126.199077,0.000000,2037
700853.537056,9311126.771910,0.000000,2037
700878.734103,9311130.407410,0.000000,2038
700841.716833,9311386.020299,0.000000,2039
700826.598222,9311473.899077,0.000000,2040
700798.013689,9311486.689910,0.000000,2117
700780.582014,9311474.290785,0.000000,2042
700445.285972,9311571.721910,0.000000,2044
700446.097556,9311554.807743,0.000000,2045
700457.575722,9311565.021910,0.000000,2046
700481.643056,9311419.562743,0.000000,2047
700613.066839,9311384.292243,0.000000,2204
700614.071293,9311397.866535,0.000000,2204
700624.687762,9311434.420077,0.000000,2048
700630.632481,9311442.917243,0.000000,2049
700659.185489,9311444.250410,0.000000,2050
700734.812556,9311355.385910,0.000000,2051
700879.514889,9311405.278577,0.000000,2052
700883.311389,9311407.760410,0.000000,2052
700699.978222,9311227.702743,0.000000,2053
700676.883106,9311204.183743,0.000000,2054
700685.842339,9311208.867743,0.000000,2056
700579.010112,9311077.143333,0.000000,2057
700624.580776,9311248.963285,0.000000,2059
700601.121346,9311276.297124,0.000000,2060
700656.250289,9311319.746743,0.000000,2061
700513.117722,9311229.359910,0.000000,2062
700422.729235,9311123.912410,0.000000,2063
700417.088934,9311113.652137,0.000000,2064
700408.882589,9311168.327110,0.000000,2065
700448.543556,9311185.342743,0.000000,2066
700479.500426,9311173.247521,0.000000,2067
700503.236222,9311169.323354,0.000000,2068
700477.505056,9311160.778910,0.000000,2067
700425.632639,9311196.849243,0.000000,2069
700415.517389,9311191.536077,0.000000,2070
700437.331722,9311196.321577,0.000000,2071
700462.810389,9311188.628577,0.000000,2074
700471.106389,9311188.233077,0.000000,2075
700484.432318,9311195.103196,0.000000,2076
700495.784389,9311196.577410,0.000000,2077
700504.905389,9311195.800510,0.000000,2078
