X,Y,Z
378.823300,5.456700,0.000000
433.184715,48.023357,0.000000
413.923221,31.331141,0.000000
381.454000,19.738694,0.000000
396.474420,64.873407,0.000000
385.965498,67.356957,0.000000
378.173800,25.066165,0.000000
374.036333,1.202167,0.000000
359.643729,-11.430243,0.000000
374.806810,0.764905,0.000000
354.551175,8.999000,0.000000
359.998900,12.464000,0.000000
358.262500,13.626875,0.000000
374.065308,11.165692,0.000000
355.466437,2.079500,0.000000
415.190016,26.350459,0.000000
444.345385,52.850615,0.000000
435.893333,51.319500,0.000000
377.054750,14.835803,0.000000
381.620600,10.127600,0.000000
385.915992,67.210376,0.000000
380.227140,28.876527,0.000000
341.053917,48.551333,0.000000
375.000545,-15.488582,0.000000
387.979625,134.867500,0.000000
535.205533,34.761052,0.000000
536.038236,35.010809,0.000000
381.466500,105.604750,0.000000
383.312000,108.688000,0.000000
387.643714,124.494429,0.000000
438.780833,24.534000,0.000000
376.058167,105.135667,0.000000
362.264500,-1.212167,0.000000
368.529000,88.726483,0.000000
495.758250,18.260750,0.000000
521.506673,36.582063,0.000000
527.235989,28.972967,0.000000
542.830471,40.834835,0.000000
378.419542,138.294833,0.000000
396.113833,114.032000,0.000000
370.164745,-1.945736,0.000000
385.433280,107.959042,0.000000
533.681649,20.916622,0.000000
501.683000,9.988333,0.000000
496.062000,72.310389,0.000000
497.532667,85.130222,0.000000
486.365500,93.584000,0.000000
334.499000,-29.880618,0.000000
497.404000,79.321667,0.000000
481.168900,71.444000,0.000000
466.214100,119.790900,0.000000
472.601286,131.303143,0.000000
372.602312,112.672687,0.000000
485.477167,108.263500,0.000000
449.427586,54.037168,0.000000
345.820650,-40.372037,0.000000
541.506912,26.772113,0.000000
536.803694,48.723290,0.000000
481.356625,114.949250,0.000000
378.342167,-3.394333,0.000000
428.469271,44.846554,0.000000
393.305714,38.572681,0.000000
384.862182,-2.569000,0.000000
509.913636,99.297727,0.000000
485.845278,85.263056,0.000000
529.430654,43.050272,0.000000
359.406765,92.214176,0.000000
380.137039,137.151412,0.000000
389.074333,-7.494333,0.000000
488.149000,104.612000,0.000000
490.768000,112.629000,0.000000
383.385667,116.871833,0.000000
487.400000,112.113667,0.000000
513.177000,127.433375,0.000000
379.104167,138.586333,0.000000
390.465200,132.742000,0.000000
371.402000,132.065333,0.000000
549.076033,32.721751,0.000000
478.781444,91.064778,0.000000
378.094458,138.305750,0.000000
370.523333,4.515333,0.000000
392.649545,116.207273,0.000000
429.047500,45.864333,0.000000
381.085800,130.203200,0.000000
454.709525,38.296188,0.000000
407.332667,103.763333,0.000000
520.256667,213.880083,0.000000
501.832429,179.354571,0.000000
489.904000,241.139667,0.000000
457.501000,195.624667,0.000000
493.198949,173.451128,0.000000
527.721500,171.010875,0.000000
450.290000,186.082667,0.000000
500.848500,182.010875,0.000000
448.535286,176.890286,0.000000
446.554833,149.120000,0.000000
493.703632,234.454105,0.000000
487.953500,249.834167,0.000000
503.307333,120.922833,0.000000
442.007944,158.154222,0.000000
462.947444,161.660000,0.000000
491.231167,175.256833,0.000000
498.286857,247.661857,0.000000
508.305222,229.685000,0.000000
457.117250,176.954375,0.000000
507.173667,167.054500,0.000000
536.757909,190.039636,0.000000
470.114500,152.105875,0.000000
524.634333,213.186667,0.000000
511.022714,203.793429,0.000000
505.388000,153.288857,0.000000
440.462857,149.800143,0.000000
498.853500,230.455000,0.000000
487.041792,173.151125,0.000000
516.152429,221.789571,0.000000
540.804889,182.956889,0.000000
445.678286,145.125714,0.000000
444.430667,172.190333,0.000000
515.426400,193.912600,0.000000
484.356667,149.428000,0.000000
525.769333,184.407667,0.000000
507.338846,139.862692,0.000000
510.728667,126.554385,0.000000
459.608000,176.820333,0.000000
448.158000,142.354333,0.000000
439.829125,178.562500,0.000000
379.696500,215.862167,0.000000
510.441000,214.971714,0.000000
491.547375,123.836562,0.000000
541.934958,-87.980533,0.000000
619.562833,-192.297950,0.000000
515.747020,-95.775696,0.000000
548.612667,-163.527333,0.000000
536.858020,-81.943085,0.000000
614.661179,-185.051076,0.000000
561.857500,-238.216500,0.000000
528.641333,-93.327667,0.000000
532.619038,-75.945654,0.000000
570.202700,-139.577085,0.000000
570.030333,-200.931217,0.000000
532.772833,-168.059950,0.000000
540.431500,-195.368150,0.000000
567.727000,-246.135571,0.000000
543.181833,-164.389867,0.000000
537.269662,-83.415979,0.000000
584.660167,-121.777532,0.000000
612.046091,-186.197681,0.000000
560.249833,-223.190417,0.000000
528.493500,-70.464033,0.000000
556.252300,-153.895150,0.000000
613.105167,-182.432567,0.000000
555.171240,9.410987,0.000000
554.155625,-7.320000,0.000000
582.269333,54.371667,0.000000
566.388455,-2.650091,0.000000
570.465167,45.222833,0.000000
559.844333,45.581542,0.000000
583.346929,64.563143,0.000000
555.638271,9.208687,0.000000
540.170889,11.636444,0.000000
544.983950,21.468700,0.000000
575.183889,5.951444,0.000000
573.231500,66.260667,0.000000
572.912652,55.436768,0.000000
571.285490,55.693135,0.000000
585.267714,54.816571,0.000000
570.886000,42.336071,0.000000
572.779286,69.069000,0.000000
569.769579,19.505368,0.000000
542.942737,-1.279053,0.000000
557.710018,8.696562,0.000000
572.789875,6.963500,0.000000
561.322667,57.144167,0.000000
557.992643,57.181857,0.000000
556.379382,9.068478,0.000000
582.304920,43.785200,0.000000
571.802882,55.847247,0.000000
558.552500,25.508625,0.000000
635.964857,85.156000,0.000000
593.897875,74.343375,0.000000
645.898625,129.667000,0.000000
647.437143,104.645429,0.000000
527.972600,138.702300,0.000000
589.918636,52.105000,0.000000
615.171667,78.145222,0.000000
543.523643,154.103071,0.000000
556.762500,134.588167,0.000000
592.718500,79.023214,0.000000
596.683556,75.489667,0.000000
662.396500,42.177000,0.000000
671.081500,47.960000,0.000000
570.582750,142.379500,0.000000
531.690000,117.760571,0.000000
556.609167,163.451667,0.000000
561.694042,67.736625,0.000000
642.351333,111.211667,0.000000
539.318571,132.801714,0.000000
591.380625,36.988000,0.000000
547.844000,179.581625,0.000000
630.425167,120.619333,0.000000
625.176143,88.003286,0.000000
621.462300,83.595600,0.000000
590.313250,47.467875,0.000000
649.790000,119.097100,0.000000
649.353833,106.861667,0.000000
591.161400,72.685100,0.000000
594.083333,75.977833,0.000000
560.616333,118.964667,0.000000
547.337000,169.095100,0.000000
602.221167,75.431500,0.000000
543.419714,166.100286,0.000000
614.074571,187.216571,0.000000
617.340803,200.822852,0.000000
626.778111,79.701722,0.000000
617.507750,100.541438,0.000000
642.704000,107.564111,0.000000
