X,Y,Z
-382.396868,457.713971,0.000000
-237.727839,354.022663,0.000000
-259.724551,337.583246,0.000000
-388.764576,625.269304,0.000000
-517.953509,568.637648,0.000000
-517.134682,637.854496,0.000000
-282.687661,584.103347,0.000000
-517.544665,598.599166,0.000000
-940.933686,940.288032,0.000000
-695.866487,875.129283,0.000000
-929.915702,990.213808,0.000000
-603.205923,960.058434,0.000000
-969.067566,813.553251,0.000000
-724.827881,877.530400,0.000000
-886.707005,726.811289,0.000000
-983.550676,776.185440,0.000000
-776.309903,731.192119,0.000000
-726.559670,694.642073,0.000000
-964.517850,954.170706,0.000000
-919.319995,998.902108,0.000000
-514.603328,807.283499,0.000000
-481.725072,767.265865,0.000000
-642.263255,750.701951,0.000000
-182.937460,251.686213,0.000000
-814.560002,620.271753,0.000000
-730.348932,617.741985,0.000000
-262.542005,285.327359,0.000000
-221.285361,335.793732,0.000000
-727.272861,682.080861,0.000000
-364.700132,487.163434,0.000000
-840.184995,727.172499,0.000000
-824.027102,736.201211,0.000000
-672.752256,447.036251,0.000000
-734.594836,53.545663,0.000000
-154.434945,341.853730,0.000000
-596.460275,4.752593,0.000000
-678.242490,329.076506,0.000000
-929.431443,192.913507,0.000000
-144.370911,453.856718,0.000000
-193.506193,175.267837,0.000000
-678.957507,387.422519,0.000000
-765.040301,53.824973,0.000000
-604.055153,975.493341,0.000000
-187.756162,130.168832,0.000000
-741.327319,49.249500,0.000000
-849.378355,724.148838,0.000000
-523.221911,237.659585,0.000000
-124.092649,410.413702,0.000000
-235.339367,499.566923,0.000000
-615.217822,983.476637,0.000000
-856.296669,726.825178,0.000000
-689.415453,983.920982,0.000000
-767.930906,910.050915,0.000000
-579.094871,372.883831,0.000000
-413.261838,767.987349,0.000000
-609.603839,979.260044,0.000000
-882.901650,720.797835,0.000000
-193.717827,140.667332,0.000000
-96.103685,86.387478,0.000000
-126.306180,74.398148,0.000000
-178.726938,423.889463,0.000000
-770.426660,696.974243,0.000000
-755.426350,926.340921,0.000000
-701.469735,925.520908,0.000000
-183.246877,327.938000,0.000000
-413.321165,777.831669,0.000000
-343.352831,186.357502,0.000000
-412.445676,773.518660,0.000000
-585.460709,448.455005,0.000000
-240.195365,421.760543,0.000000
-578.820514,884.650018,0.000000
-963.555006,786.598613,0.000000
-616.247417,921.082021,0.000000
-939.678013,976.807981,0.000000
-702.372190,961.265459,0.000000
-918.159971,877.793091,0.000000
-697.904396,948.466001,0.000000
-715.804174,923.119108,0.000000
-722.404367,920.223667,0.000000
-731.372084,914.845449,0.000000
-208.795731,124.039422,0.000000
-85.993862,185.182329,0.000000
-198.786008,105.318673,0.000000
-217.193777,26.837951,0.000000
-256.174387,-104.562763,0.000000
-230.080663,-78.711012,0.000000
-193.197999,-116.529430,0.000000
-235.775621,-62.305473,0.000000
-134.716561,-72.911112,0.000000
-521.420001,515.947330,0.000000
-206.065668,599.960766,0.000000
-178.610140,561.034051,0.000000
-202.103503,-104.216084,0.000000
-193.379914,579.950616,0.000000
-170.119164,-104.379083,0.000000
-258.571808,-84.139741,0.000000
-97.984547,8.420819,0.000000
-521.236824,531.378177,0.000000
-92.537093,-5.200724,0.000000
-467.165738,-237.144317,0.000000
-519.229213,-242.834881,0.000000
-381.254405,-24.547390,0.000000
-930.415981,-528.979257,0.000000
-889.996487,-331.228697,0.000000
-826.599478,-404.897237,0.000000
-846.138422,-522.795860,0.000000
-893.118473,-527.381893,0.000000
-888.877170,-527.512154,0.000000
-781.168042,-478.867102,0.000000
-905.912590,-470.720323,0.000000
-979.910259,941.513948,0.000000
-588.584002,965.893345,0.000000
-929.018349,830.222508,0.000000
-916.453346,794.272495,0.000000
-404.047178,735.651829,0.000000
-633.315834,382.331181,0.000000
-633.375669,373.789158,0.000000
-193.501328,579.584587,0.000000
