X,Y,Z
129.263300,140.116700,0.000000
183.624715,182.683357,0.000000
164.363221,165.991141,0.000000
131.894000,154.398694,0.000000
146.914420,199.533407,0.000000
136.405498,202.016957,0.000000
128.613800,159.726165,0.000000
124.476333,135.862167,0.000000
110.083729,123.229757,0.000000
125.246810,135.424905,0.000000
104.991175,143.659000,0.000000
110.438900,147.124000,0.000000
108.702500,148.286875,0.000000
124.505308,145.825692,0.000000
105.906437,136.739500,0.000000
165.630016,161.010459,0.000000
194.785385,187.510615,0.000000
186.333333,185.979500,0.000000
127.494750,149.495803,0.000000
132.060600,144.787600,0.000000
136.355992,201.870376,0.000000
130.667140,163.536527,0.000000
91.493917,183.211333,0.000000
125.440545,119.171418,0.000000
138.419625,269.527500,0.000000
285.645533,169.421052,0.000000
286.478236,169.670809,0.000000
131.906500,240.264750,0.000000
133.752000,243.348000,0.000000
138.083714,259.154429,0.000000
189.220833,159.194000,0.000000
126.498167,239.795667,0.000000
112.704500,133.447833,0.000000
118.969000,223.386483,0.000000
246.198250,152.920750,0.000000
271.946673,171.242063,0.000000
277.675989,163.632967,0.000000
293.270471,175.494835,0.000000
128.859542,272.954833,0.000000
146.553833,248.692000,0.000000
120.604745,132.714264,0.000000
135.873280,242.619042,0.000000
284.121649,155.576622,0.000000
252.123000,144.648333,0.000000
246.502000,206.970389,0.000000
247.972667,219.790222,0.000000
236.805500,228.244000,0.000000
84.939000,104.779382,0.000000
247.844000,213.981667,0.000000
231.608900,206.104000,0.000000
216.654100,254.450900,0.000000
223.041286,265.963143,0.000000
123.042312,247.332687,0.000000
235.917167,242.923500,0.000000
199.867586,188.697168,0.000000
96.260650,94.287963,0.000000
291.946913,161.432113,0.000000
287.243694,183.383290,0.000000
231.796625,249.609250,0.000000
128.782167,131.265667,0.000000
178.909271,179.506554,0.000000
143.745714,173.232681,0.000000
135.302182,132.091000,0.000000
260.353636,233.957727,0.000000
236.285278,219.923056,0.000000
279.870654,177.710272,0.000000
109.846765,226.874176,0.000000
130.577039,271.811412,0.000000
139.514333,127.165667,0.000000
238.589000,239.272000,0.000000
241.208000,247.289000,0.000000
133.825667,251.531833,0.000000
237.840000,246.773667,0.000000
263.617000,262.093375,0.000000
129.544167,273.246333,0.000000
140.905200,267.402000,0.000000
121.842000,266.725333,0.000000
299.516033,167.381751,0.000000
229.221444,225.724778,0.000000
128.534458,272.965750,0.000000
120.963333,139.175333,0.000000
143.089545,250.867273,0.000000
179.487500,180.524333,0.000000
131.525800,264.863200,0.000000
205.149525,172.956188,0.000000
157.772667,238.423333,0.000000
270.696667,348.540083,0.000000
252.272429,314.014571,0.000000
240.344000,375.799667,0.000000
207.941000,330.284667,0.000000
243.638949,308.111128,0.000000
278.161500,305.670875,0.000000
200.730000,320.742667,0.000000
251.288500,316.670875,0.000000
198.975286,311.550286,0.000000
196.994833,283.780000,0.000000
244.143632,369.114105,0.000000
238.393500,384.494167,0.000000
253.747333,255.582833,0.000000
192.447944,292.814222,0.000000
213.387444,296.320000,0.000000
241.671167,309.916833,0.000000
248.726857,382.321857,0.000000
258.745222,364.345000,0.000000
207.557250,311.614375,0.000000
257.613667,301.714500,0.000000
287.197909,324.699636,0.000000
220.554500,286.765875,0.000000
275.074333,347.846667,0.000000
261.462714,338.453429,0.000000
255.828000,287.948857,0.000000
190.902857,284.460143,0.000000
249.293500,365.115000,0.000000
237.481792,307.811125,0.000000
266.592429,356.449571,0.000000
291.244889,317.616889,0.000000
196.118286,279.785714,0.000000
194.870667,306.850333,0.000000
265.866400,328.572600,0.000000
234.796667,284.088000,0.000000
276.209333,319.067667,0.000000
257.778846,274.522692,0.000000
261.168667,261.214385,0.000000
210.048000,311.480333,0.000000
198.598000,277.014333,0.000000
190.269125,313.222500,0.000000
130.136500,350.522167,0.000000
260.881000,349.631714,0.000000
241.987375,258.496562,0.000000
292.374958,46.679467,0.000000
370.002833,-57.637950,0.000000
266.187020,38.884304,0.000000
299.052667,-28.867333,0.000000
287.298020,52.716915,0.000000
365.101179,-50.391076,0.000000
312.297500,-103.556500,0.000000
279.081333,41.332333,0.000000
283.059038,58.714346,0.000000
320.642700,-4.917085,0.000000
320.470333,-66.271217,0.000000
283.212833,-33.399950,0.000000
290.871500,-60.708150,0.000000
318.167000,-111.475571,0.000000
293.621833,-29.729867,0.000000
287.709662,51.244021,0.000000
335.100167,12.882468,0.000000
362.486091,-51.537681,0.000000
310.689833,-88.530417,0.000000
278.933500,64.195967,0.000000
306.692300,-19.235150,0.000000
363.545167,-47.772567,0.000000
305.611240,144.070987,0.000000
304.595625,127.340000,0.000000
332.709333,189.031667,0.000000
316.828455,132.009909,0.000000
320.905167,179.882833,0.000000
310.284333,180.241542,0.000000
333.786929,199.223143,0.000000
306.078271,143.868687,0.000000
290.610889,146.296444,0.000000
295.423950,156.128700,0.000000
325.623889,140.611444,0.000000
323.671500,200.920667,0.000000
323.352652,190.096768,0.000000
321.725490,190.353135,0.000000
335.707714,189.476571,0.000000
321.326000,176.996071,0.000000
323.219286,203.729000,0.000000
320.209579,154.165368,0.000000
293.382737,133.380947,0.000000
308.150018,143.356562,0.000000
323.229875,141.623500,0.000000
311.762667,191.804167,0.000000
308.432643,191.841857,0.000000
306.819382,143.728478,0.000000
332.744920,178.445200,0.000000
322.242882,190.507247,0.000000
308.992500,160.168625,0.000000
386.404857,219.816000,0.000000
344.337875,209.003375,0.000000
396.338625,264.327000,0.000000
397.877143,239.305429,0.000000
278.412600,273.362300,0.000000
340.358636,186.765000,0.000000
365.611667,212.805222,0.000000
293.963643,288.763071,0.000000
307.202500,269.248167,0.000000
343.158500,213.683214,0.000000
347.123556,210.149667,0.000000
412.836500,176.837000,0.000000
421.521500,182.620000,0.000000
321.022750,277.039500,0.000000
282.130000,252.420571,0.000000
307.049167,298.111667,0.000000
312.134042,202.396625,0.000000
392.791333,245.871667,0.000000
289.758571,267.461714,0.000000
341.820625,171.648000,0.000000
298.284000,314.241625,0.000000
380.865167,255.279333,0.000000
375.616143,222.663286,0.000000
371.902300,218.255600,0.000000
340.753250,182.127875,0.000000
400.230000,253.757100,0.000000
399.793833,241.521667,0.000000
341.601400,207.345100,0.000000
344.523333,210.637833,0.000000
311.056333,253.624667,0.000000
297.777000,303.755100,0.000000
352.661167,210.091500,0.000000
293.859714,300.760286,0.000000
364.514571,321.876571,0.000000
367.780803,335.482852,0.000000
377.218111,214.361722,0.000000
367.947750,235.201437,0.000000
393.144000,242.224111,0.000000
421.079167,185.844500,0.000000
398.323700,245.758400,0.000000
347.221513,204.931410,0.000000
300.743909,249.061045,0.000000
339.600500,323.760500,0.000000
322.325667,321.058667,0.000000
378.314500,214.057667,0.000000
345.442482,341.115107,0.000000
388.626167,166.725000,0.000000
347.501541,204.242351,0.000000
412.265800,178.488100,0.000000
381.903462,225.234923,0.000000
357.849533,212.440867,0.000000
356.467100,203.465600,0.000000
350.343125,171.900750,0.000000
416.666333,184.033889,0.000000
419.146333,201.403833,0.000000
401.327889,262.762889,0.000000
301.778250,276.181500,0.000000
291.614900,299.966000,0.000000
394.864833,240.213667,0.000000
338.748333,155.903167,0.000000
301.544429,331.888429,0.000000
337.688500,310.275700,0.000000
362.320900,217.259200,0.000000
347.605849,204.209477,0.000000
441.773801,241.671109,0.000000
290.442667,360.241167,0.000000
440.571833,225.408000,0.000000
442.395750,329.647625,0.000000
414.835100,237.883000,0.000000
445.857327,254.330449,0.000000
468.997700,153.886700,0.000000
279.619250,357.912750,0.000000
434.354375,359.210750,0.000000
452.350333,332.845667,0.000000
364.212870,312.855391,0.000000
428.433153,373.628272,0.000000
433.005111,324.042667,0.000000
464.522364,149.480545,0.000000
466.644500,157.070500,0.000000
466.285125,146.054750,0.000000
471.542000,147.361000,0.000000
382.513700,448.292867,0.000000
397.087833,420.053500,0.000000
376.251132,306.963171,0.000000
401.653143,391.150429,0.000000
420.600667,429.788333,0.000000
292.924500,339.052167,0.000000
380.420000,447.566000,0.000000
437.332880,251.291290,0.000000
426.887333,427.469167,0.000000
430.110667,383.426167,0.000000
321.857500,389.888000,0.000000
369.884111,310.366556,0.000000
305.644833,345.902833,0.000000
437.769000,325.615000,0.000000
442.249279,242.283585,0.000000
374.390079,320.447381,0.000000
447.664511,254.005416,0.000000
462.507500,281.749125,0.000000
435.434556,379.810667,0.000000
291.645000,366.376667,0.000000
442.568000,295.478273,0.000000
300.550100,336.824300,0.000000
277.626000,351.764714,0.000000
407.129667,426.350000,0.000000
285.398500,348.271833,0.000000
422.585471,385.169235,0.000000
312.942143,377.727000,0.000000
294.183024,365.048262,0.000000
305.857100,385.403900,0.000000
378.460500,309.812974,0.000000
285.415786,343.542500,0.000000
422.813167,371.419667,0.000000
425.701500,388.457333,0.000000
428.479784,374.013139,0.000000
401.716000,432.097000,0.000000
419.220000,337.626667,0.000000
372.281222,306.783333,0.000000
426.382059,377.815294,0.000000
437.320000,365.419125,0.000000
438.139143,294.225429,0.000000
444.571130,253.427913,0.000000
434.370857,265.834429,0.000000
282.210750,357.197875,0.000000
431.526375,278.056000,0.000000
461.041750,276.801375,0.000000
462.348000,249.123500,0.000000
315.277500,381.069375,0.000000
520.426000,313.535667,0.000000
549.600333,210.787333,0.000000
540.271500,351.741700,0.000000
366.927625,501.658250,0.000000
559.094875,312.892625,0.000000
494.158000,254.925500,0.000000
533.179174,282.462099,0.000000
392.302857,495.808429,0.000000
497.908000,228.498286,0.000000
509.133833,201.058167,0.000000
509.970625,267.995500,0.000000
525.640000,290.154000,0.000000
537.158500,266.227333,0.000000
512.640271,335.639346,0.000000
493.631714,225.202143,0.000000
523.642167,266.859000,0.000000
479.225000,142.906400,0.000000
533.172698,282.462083,0.000000
552.701000,154.808667,0.000000
491.169167,178.408000,0.000000
571.122375,203.400375,0.000000
533.018167,206.774500,0.000000
499.674125,239.846375,0.000000
385.678667,494.718333,0.000000
548.424125,319.402125,0.000000
515.032143,284.470571,0.000000
512.944769,296.960538,0.000000
371.114800,409.679500,0.000000
